,数据名称,店铺,数据标签,数据大小,浏览量,价格
128,159.5,315.0,298.35833333333335,1292277.0,25275,120.0
130,199.0,199.0,356.0,1826487.0,23059,199.0
131,199.0,199.0,356.0,1826487.0,30486,199.0
132,399.57142857142856,200.0,298.35833333333335,3064672.0,22925,200.0
133,159.5,135.86363636363637,298.35833333333335,1826487.0,24665,199.0
134,159.5,135.86363636363637,298.35833333333335,1826487.0,27217,199.0
135,399.57142857142856,135.86363636363637,298.35833333333335,1826487.0,27687,199.0
136,199.0,135.86363636363637,298.35833333333335,1826487.0,25701,199.0
137,235.0,210.46808510638297,298.35833333333335,3064672.0,28492,235.0
138,50.0,50.0,3077.0526315789475,1292277.0,31208,50.0
139,50.0,50.0,298.35833333333335,1292277.0,28960,50.0
140,50.0,50.0,3077.0526315789475,1292277.0,30730,50.0
141,50.0,50.0,50.0,1292277.0,30706,50.0
142,99.0,127.51428571428572,298.35833333333335,1292277.0,21350,99.0
143,99.0,127.51428571428572,298.35833333333335,1292277.0,24150,99.0
144,99.0,127.51428571428572,298.35833333333335,1292277.0,20374,99.0
145,279.5,127.51428571428572,298.35833333333335,3398297.0,23811,360.0
146,161.33333333333334,127.51428571428572,298.35833333333335,1292277.0,26150,50.0
147,50.0,127.51428571428572,50.0,1292277.0,22090,50.0
148,199.0,199.0,199.0,1826487.0,29929,199.0
149,199.0,350.89473684210526,298.35833333333335,1826487.0,28476,199.0
150,532.6666666666666,350.89473684210526,356.0,3398297.0,29717,399.0
151,199.0,249.0,189.5,1826487.0,21490,199.0
152,272.0,315.81666666666666,356.0,3064672.0,22265,345.0
153,399.57142857142856,315.0,298.35833333333335,3398297.0,28977,900.0
154,50.0,70.0,298.35833333333335,1292277.0,21851,50.0
155,200.0,210.46808510638297,199.875,3064672.0,23478,200.0
156,2683.0981704596156,2683.0981704596156,2683.0981704596156,15784147.0,33304,350.0
157,130.0,200.0,145.05882352941177,3064672.0,42258,200.0
158,2683.0981704596156,290.6666666666667,316.0,1826487.0,42976,199.0
159,2683.0981704596156,199.5,543.975,1826487.0,40819,199.0
160,163.6,205.45454545454547,200.0,3064672.0,45028,200.0
161,2683.0981704596156,1886.3636363636363,271.4418604651163,3398297.0,28759,500.0
162,219.5,127.51428571428572,237.23076923076923,1826487.0,30821,199.0
163,2683.0981704596156,1886.3636363636363,213.71428571428572,3064672.0,22516,300.0
164,2683.0981704596156,186.03571428571428,145.05882352941177,1292277.0,35787,140.0
165,399.5,229.0,206.1851851851852,3064672.0,33581,299.0
166,2683.0981704596156,186.03571428571428,243.6,3064672.0,36577,280.0
167,2683.0981704596156,186.03571428571428,282.5,3064672.0,25744,290.0
168,2683.0981704596156,369400.0,2683.0981704596156,57409581.0,40788,294400.0
169,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,25391,200.0
170,2683.0981704596156,1886.3636363636363,178.93333333333334,3064672.0,25469,300.0
171,2683.0981704596156,1886.3636363636363,178.93333333333334,3064672.0,25620,300.0
172,250.0,300.0,300.0,3064672.0,36616,300.0
173,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,23852,300.0
174,2683.0981704596156,1886.3636363636363,286.3333333333333,3064672.0,24542,300.0
175,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,24257,200.0
176,2683.0981704596156,1886.3636363636363,178.93333333333334,3064672.0,26753,300.0
177,2683.0981704596156,1886.3636363636363,178.93333333333334,3064672.0,23616,300.0
178,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,26449,200.0
179,2683.0981704596156,1886.3636363636363,271.4418604651163,3398297.0,25094,500.0
180,2683.0981704596156,1886.3636363636363,213.71428571428572,3064672.0,28461,300.0
181,2683.0981704596156,1886.3636363636363,271.4418604651163,3398297.0,28756,500.0
182,2683.0981704596156,186.03571428571428,282.5,3064672.0,30722,290.0
183,2683.0981704596156,315.81666666666666,264.14285714285717,3398297.0,55892,450.0
184,2683.0981704596156,205.45454545454547,206.1851851851852,3064672.0,30123,200.0
185,2683.0981704596156,186.03571428571428,214.5,3064672.0,30374,220.0
186,219.5,315.81666666666666,2683.0981704596156,3064672.0,37356,240.0
187,2683.0981704596156,369400.0,2683.0981704596156,57409581.0,31071,294400.0
188,250.0,200.0,178.93333333333334,3064672.0,25577,200.0
189,2683.0981704596156,300.0,300.0,3064672.0,29876,300.0
190,2683.0981704596156,186.03571428571428,543.975,3064672.0,26425,228.0
191,2683.0981704596156,199.0,459.95717391304345,1826487.0,31320,199.0
192,199.33333333333334,290.6666666666667,543.975,1826487.0,28415,199.0
193,2683.0981704596156,229.0,145.05882352941177,1644987.0,30197,188.0
194,2683.0981704596156,205.45454545454547,200.0,3064672.0,27400,200.0
195,2683.0981704596156,266.1666666666667,2683.0981704596156,3064672.0,39546,299.0
196,2683.0981704596156,369400.0,170300.81818181818,57409581.0,30088,294400.0
197,2683.0981704596156,369400.0,170300.81818181818,57409581.0,30952,294400.0
198,2683.0981704596156,334.5,264.14285714285717,3398297.0,32270,470.0
199,2683.0981704596156,199.0,197.72222222222223,1826487.0,31084,199.0
200,372.0,350.89473684210526,356.0,3398297.0,33330,399.0
201,2683.0981704596156,200.0,170300.81818181818,3064672.0,28149,200.0
202,2683.0981704596156,205.45454545454547,2683.0981704596156,3064672.0,28401,200.0
203,2683.0981704596156,138.35,199.0,1826487.0,29294,199.0
204,2683.0981704596156,799.3333333333334,181.31578947368422,1826487.0,23706,199.0
205,2683.0981704596156,166.66666666666666,2683.0981704596156,1292277.0,25941,100.0
206,2683.0981704596156,229.0,243.6,1292277.0,37883,58.0
207,199.5,205.45454545454547,201.25,3064672.0,32933,200.0
208,199.5,234.55555555555554,243.6,1826487.0,28654,199.0
209,2683.0981704596156,315.81666666666666,197.72222222222223,1826487.0,27615,199.0
211,2683.0981704596156,438.3333333333333,322.95238095238096,3398297.0,25502,800.0
212,2683.0981704596156,62.5,264.14285714285717,1292277.0,26238,50.0
213,2683.0981704596156,199.0,459.95717391304345,1826487.0,28324,199.0
214,209.66666666666666,2319.4,543.975,1826487.0,28199,199.0
215,149.5,127.51428571428572,635.5217391304348,1292277.0,23515,100.0
216,149.5,315.81666666666666,635.5217391304348,1826487.0,25860,199.0
217,199.5,135.86363636363637,243.6,3064672.0,32604,200.0
218,199.0,627.2087101449275,199.33333333333334,1826487.0,25154,199.0
219,2683.0981704596156,186.03571428571428,162.0,3064672.0,30770,200.0
220,2683.0981704596156,186.03571428571428,165.66666666666666,3064672.0,13105,290.0
221,2683.0981704596156,127.51428571428572,170300.81818181818,1826487.0,30662,199.0
222,2683.0981704596156,2683.0981704596156,271.4418604651163,3398297.0,31106,500.0
223,2683.0981704596156,199.0,459.95717391304345,1826487.0,28087,199.0
224,2683.0981704596156,138.35,2683.0981704596156,1292277.0,26475,79.0
225,2683.0981704596156,315.81666666666666,145.05882352941177,1826487.0,32149,199.0
226,2683.0981704596156,210.46808510638297,237.23076923076923,3064672.0,25825,230.0
227,2683.0981704596156,438.3333333333333,322.95238095238096,3064672.0,26277,250.0
228,2683.0981704596156,186.03571428571428,126.0,1292277.0,32833,50.0
229,2683.0981704596156,186.03571428571428,322.95238095238096,3064672.0,25821,200.0
230,163.6,234.55555555555554,145.05882352941177,1826487.0,30571,199.0
231,2683.0981704596156,138.35,243.6,1826487.0,21854,199.0
232,2683.0981704596156,186.03571428571428,181.2,1292277.0,30718,50.0
233,2683.0981704596156,186.03571428571428,286.6666666666667,3064672.0,31900,200.0
234,99.5,2683.0981704596156,2683.0981704596156,1292277.0,26668,99.0
235,2683.0981704596156,200.0,187.16666666666666,3064672.0,30109,200.0
236,2683.0981704596156,186.03571428571428,282.5,3064672.0,26018,290.0
237,2683.0981704596156,315.81666666666666,2683.0981704596156,1826487.0,28645,199.0
238,2683.0981704596156,315.81666666666666,230.0,3064672.0,24644,210.0
239,2683.0981704596156,315.81666666666666,2683.0981704596156,3064672.0,29915,210.0
240,199.33333333333334,2319.4,543.975,1826487.0,24617,199.0
241,199.0,290.6666666666667,316.0,1826487.0,23306,199.0
242,2683.0981704596156,138.35,159.5,1292277.0,29287,99.0
243,199.0,186.03571428571428,298.35833333333335,1826487.0,26901,199.0
244,200.0,186.03571428571428,298.35833333333335,3064672.0,29146,200.0
245,250.0,266.1666666666667,530.0,3064672.0,32403,300.0
246,2683.0981704596156,127.51428571428572,208.0,1826487.0,25537,199.0
247,2683.0981704596156,306.0,243.6,3398297.0,26378,450.0
248,2683.0981704596156,205.45454545454547,2683.0981704596156,3064672.0,29359,200.0
249,2683.0981704596156,315.81666666666666,1120.0,3064672.0,31544,240.0
250,2683.0981704596156,2683.0981704596156,123.33333333333333,3064672.0,23465,200.0
251,2683.0981704596156,799.3333333333334,181.31578947368422,1826487.0,23175,199.0
252,2683.0981704596156,186.03571428571428,181.2,1292277.0,25955,50.0
253,176.5,127.51428571428572,201.25,1292277.0,22432,59.0
254,199.5,127.51428571428572,187.16666666666666,1826487.0,27314,199.0
255,152.33333333333334,127.51428571428572,181.31578947368422,1292277.0,42277,59.0
256,259.5,138.35,181.2,1292277.0,23512,119.0
257,2683.0981704596156,315.81666666666666,219.5,3064672.0,23859,240.0
258,2683.0981704596156,186.03571428571428,206.1851851851852,1292277.0,22644,50.0
259,272.0,350.89473684210526,298.35833333333335,1826487.0,32201,199.0
260,2683.0981704596156,315.81666666666666,170300.81818181818,3064672.0,29686,210.0
261,2683.0981704596156,2683.0981704596156,219.5,1826487.0,31295,199.0
262,199.0,627.2087101449275,199.33333333333334,1826487.0,22698,199.0
263,2683.0981704596156,138.35,243.6,1826487.0,29881,199.0
264,2683.0981704596156,315.81666666666666,799.2655210918115,1826487.0,33951,199.0
265,2683.0981704596156,193.4814814814815,212.25,1826487.0,29423,199.0
266,2683.0981704596156,600.0,420.0,18360889.0,28238,1000.0
267,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,28790,200.0
268,2683.0981704596156,186.03571428571428,145.05882352941177,1292277.0,29031,70.0
269,490.0,290.6666666666667,316.0,3398297.0,22846,550.0
270,2683.0981704596156,315.81666666666666,123.33333333333333,3064672.0,27033,240.0
271,2683.0981704596156,138.35,199.0,1826487.0,29101,199.0
272,2683.0981704596156,234.55555555555554,206.1851851851852,3398297.0,25528,359.0
273,2683.0981704596156,306.0,274.5,15784147.0,29543,350.0
274,2683.0981704596156,210.5,181.31578947368422,3064672.0,29256,222.0
275,2683.0981704596156,1886.3636363636363,271.4418604651163,3398297.0,27728,500.0
276,2683.0981704596156,1886.3636363636363,213.71428571428572,3064672.0,24391,300.0
277,152.33333333333334,199.0,181.31578947368422,1826487.0,32530,199.0
278,2683.0981704596156,300.0,271.4418604651163,3064672.0,30995,300.0
279,2683.0981704596156,595.0,543.975,3398297.0,27370,430.0
280,199.0,186.03571428571428,298.35833333333335,1826487.0,23363,199.0
281,2683.0981704596156,315.81666666666666,221.66666666666666,3064672.0,26570,240.0
282,2683.0981704596156,193.4814814814815,224.27777777777777,1826487.0,31131,199.0
